depth,event_id,event_type,latitude,longitude,magnitude,magnitude_type,originating_system,time
10.005,978633,qu,66.63857,-17.83449,0.99,mlw,SIL picks,1629286421
12.898,978635,qu,64.80744,-16.90315,0.29,mlw,SIL picks,1629288261
10.053,978636,qu,66.64455,-17.88964,0.62,mlw,SIL picks,1629289566
10.005,978638,qu,66.65335,-17.87964,1.01,mlw,SIL picks,1629292612
10.005,978639,qu,66.64922,-17.88471,0.91,mlw,SIL picks,1629292748
11.05,978640,qu,66.64626,-17.89649,2.2,mlw,SIL picks,1629292965
10.005,978643,qu,66.64798,-17.87507,0.95,mlw,SIL picks,1629293063
0.39,978641,qu,66.6091,-17.80042,0.74,mlw,SIL picks,1629293093
12.211,978642,qu,66.65324,-17.91296,2.55,mlw,SIL picks,1629293109
10.005,978646,qu,66.63732,-17.87503,0.99,mlw,SIL picks,1629295594
2.105,978658,qu,64.14228,-17.30554,0.8,mlw,SIL picks,1629305052
7.081,978654,qu,63.95097,-21.86173,1.03,mlw,SIL picks,1629306076
12.653,978655,qu,64.50663,-17.60747,0.87,mlw,SIL picks,1629306500
1.778,978656,qu,63.92805,-22.19987,1.59,mlw,SIL picks,1629309432
1.954,978657,qu,63.92753,-22.19916,1.58,mlw,SIL picks,1629309432
11.126,978660,qu,66.62822,-17.95074,1.0,mlw,SIL picks,1629313241
6.261,978661,qu,66.26199,-16.72985,0.46,mlw,SIL picks,1629317842
10.005,978662,qu,66.37775,-17.26937,0.4,mlw,SIL picks,1629323862
8.205,978664,qu,66.374,-17.28149,0.67,mlw,SIL picks,1629324551
1.163,978665,qu,63.92287,-22.20504,0.13,mlw,SIL picks,1629325675
7.705,978667,qu,63.93714,-21.40305,0.82,mlw,SIL picks,1629330753
6.802,978668,qu,63.93396,-21.40685,0.85,mlw,SIL picks,1629330885
5.927,978669,qu,63.83016,-22.64362,0.64,mlw,SIL picks,1629331116
3.699,978670,qu,63.84552,-22.40963,0.68,mlw,SIL picks,1629339652
10.005,978840,qu,67.29092,-18.75603,1.87,mlw,SIL picks,1629340259
7.017,978672,qu,63.94451,-21.30235,0.79,mlw,SIL picks,1629341137
8.568,978674,qu,63.86771,-22.26231,0.59,mlw,SIL picks,1629341890
4.519,978676,qu,63.95724,-20.74966,1.78,mlw,SIL picks,1629343375
8.177,978689,qu,64.32445,-17.51647,0.13,mlw,SIL picks,1629344800
4.416,978735,qu,65.03271,-16.70198,0.04,mlw,SIL picks,1629345194
7.579,978677,qu,65.10332,-16.24862,0.27,mlw,SIL picks,1629345770
2.427,978678,qu,63.86731,-22.49602,0.08,mlw,SIL picks,1629348630
14.31,978680,qu,66.33461,-17.47226,1.14,mlw,SIL picks,1629348962
2.68,978682,qu,65.70189,-16.75925,0.47,mlw,SIL picks,1629349595
7.957,978687,qu,64.31965,-17.5321,0.25,mlw,SIL picks,1629349691
14.188,978683,qu,66.37792,-17.03294,0.59,mlw,SIL picks,1629351226
5.358,978685,qu,63.81831,-22.70221,0.67,mlw,SIL picks,1629353854
10.577,978686,qu,66.28815,-17.1835,0.56,mlw,SIL picks,1629359202
5.918,978701,qu,65.03781,-16.70301,0.2,mlw,SIL picks,1629360467
0.135,978716,qu,64.48044,-17.74965,0.04,mlw,SIL picks,1629365041
8.237,978688,qu,64.33218,-17.48955,0.73,mlw,SIL picks,1629366330
5.412,978691,qu,63.8547,-22.62787,0.69,mlw,SIL picks,1629367661
5.964,978693,qu,63.84566,-22.64108,0.47,mlw,SIL picks,1629371252
0.651,978696,qu,64.4481,-17.44375,0.8,mlw,SIL picks,1629374066
6.537,978697,qu,63.81348,-22.72538,1.34,mlw,SIL picks,1629374881
0.451,978705,qu,63.89319,-19.21051,1.56,mlw,SIL picks,1629375071
3.561,978699,qu,63.84444,-22.71113,0.32,mlw,SIL picks,1629375227
2.943,978702,qu,65.03915,-16.69408,0.34,mlw,SIL picks,1629375531
0.135,978714,qu,64.5366,-17.72424,0.97,mlw,SIL picks,1629378819
10.812,978715,qu,66.09912,-17.52966,0.34,mlw,SIL picks,1629380621
1.195,978709,qu,63.63876,-19.21989,0.56,mlw,SIL picks,1629380658
3.063,978711,qu,63.84172,-22.25403,0.85,mlw,SIL picks,1629386418
0.135,978713,qu,64.22841,-19.33126,1.3,mlw,SIL picks,1629387499
3.886,978717,qu,64.05672,-17.20612,0.78,mlw,SIL picks,1629390621
4.744,978720,qu,66.28321,-16.76286,0.44,mlw,SIL picks,1629394761
1.144,978722,qu,64.06594,-17.21599,0.73,mlw,SIL picks,1629397161
14.992,978723,qu,64.06906,-17.21381,0.75,mlw,SIL picks,1629398234
4.037,978725,qu,63.83585,-22.43655,0.06,mlw,SIL picks,1629399207
15.349,978726,qu,64.06332,-17.20532,0.76,mlw,SIL picks,1629399612
19.089,978728,qu,64.58445,-17.19226,0.79,mlw,SIL picks,1629399870
5.039,978729,qu,64.35355,-17.42072,0.76,mlw,SIL picks,1629401954
6.597,978730,qu,64.35272,-17.3565,0.66,mlw,SIL picks,1629404056
10.005,978839,qu,66.22812,-18.56453,0.31,mlw,SIL picks,1629405018
7.45,978733,qu,63.79523,-22.88969,1.31,mlw,SIL picks,1629405021
4.485,978734,qu,65.02164,-16.70759,0.98,mlw,SIL picks,1629408738
13.634,978736,qu,64.07336,-17.22432,0.85,mlw,SIL picks,1629408840
3.791,978737,qu,65.01729,-16.70497,1.14,mlw,SIL picks,1629409497
4.876,978739,qu,65.02316,-16.73349,0.5,mlw,SIL picks,1629409999
3.345,978743,qu,65.02322,-16.67758,1.77,mlw,SIL picks,1629411847
4.973,978742,qu,65.03498,-16.70512,0.37,mlw,SIL picks,1629411906
4.136,978744,qu,65.03088,-16.6903,0.74,mlw,SIL picks,1629413061
4.33,978748,qu,65.0323,-16.68519,0.44,mlw,SIL picks,1629413117
2.947,978747,qu,65.02175,-16.66934,1.04,mlw,SIL picks,1629413288
4.214,978750,qu,65.03295,-16.69852,0.29,mlw,SIL picks,1629413394
4.065,978751,qu,65.02916,-16.69241,0.04,mlw,SIL picks,1629413463
3.255,978752,qu,65.022,-16.68047,2.34,mlw,SIL picks,1629413525
6.195,978754,qu,65.04088,-16.60782,0.23,mlw,SIL picks,1629413689
3.333,978755,qu,65.0251,-16.67809,1.73,mlw,SIL picks,1629414004
3.806,978756,qu,65.02792,-16.68151,0.89,mlw,SIL picks,1629414034
4.64,978757,qu,65.03273,-16.6926,0.23,mlw,SIL picks,1629414652
0.135,978758,qu,63.64375,-19.06593,1.02,mlw,SIL picks,1629415304
4.496,978759,qu,65.03104,-16.6847,0.25,mlw,SIL picks,1629415749
7.933,978762,qu,66.21075,-16.77745,0.68,mlw,SIL picks,1629417397
5.573,978763,qu,66.20892,-16.77445,0.02,mlw,SIL picks,1629417837
4.134,978764,qu,65.86245,-16.98545,0.26,mlw,SIL picks,1629418063
4.387,978765,qu,65.03258,-16.69279,0.49,mlw,SIL picks,1629418114
4.874,978855,qu,63.83931,-22.72992,0.49,mlw,SIL picks,1629418539
5.525,978784,qu,65.03673,-16.70125,0.12,mlw,SIL picks,1629421372
3.78,978767,qu,64.06213,-21.3955,1.15,mlw,SIL picks,1629423823
8.658,978769,qu,65.16062,-16.39298,0.5,mlw,SIL picks,1629426353
5.286,978821,qu,65.97228,-16.62542,0.15,mlw,SIL picks,1629427155
3.112,978770,qu,64.06332,-21.34845,0.44,mlw,SIL picks,1629427329
2.072,978773,qu,65.70124,-16.75308,0.91,mlw,SIL picks,1629430468
3.298,978774,qu,63.82386,-22.67747,0.5,mlw,SIL picks,1629431244
4.933,978775,qu,65.03548,-16.68207,0.04,mlw,SIL picks,1629431314
7.089,978777,qu,66.60357,-17.77494,0.85,mlw,SIL picks,1629432404
6.152,978806,qu,63.84384,-22.64331,0.45,mlw,SIL picks,1629433948
2.975,978778,qu,65.02286,-16.65691,0.24,mlw,SIL picks,1629435537
0.135,978780,qu,63.6643,-19.07358,0.55,mlw,SIL picks,1629436604
18.771,978781,qu,64.59434,-17.18521,0.58,mlw,SIL picks,1629437858
22.731,978882,qu,64.58563,-17.1798,0.51,mlw,SIL picks,1629437865
2.361,978782,qu,63.94016,-19.33538,0.91,mlw,SIL picks,1629439695
3.623,978786,qu,65.02563,-16.66866,0.86,mlw,SIL picks,1629442395
4.161,978787,qu,65.17661,-16.30704,0.97,mlw,SIL picks,1629442777
7.447,978788,qu,63.97605,-19.98252,0.62,mlw,SIL picks,1629443130
5.169,978800,qu,65.17676,-16.31588,0.18,mlw,SIL picks,1629444920
6.401,978790,qu,65.17513,-16.30556,0.45,mlw,SIL picks,1629444980
4.413,978792,qu,65.17968,-16.31664,2.49,mlw,SIL picks,1629445324
9.261,978794,qu,65.17345,-16.32191,0.93,mlw,SIL picks,1629445394
8.45,978795,qu,65.18761,-16.29241,0.25,mlw,SIL picks,1629445437
14.225,978796,qu,65.15765,-16.33453,0.27,mlw,SIL picks,1629445540
4.335,978797,qu,65.182,-16.30966,1.18,mlw,SIL picks,1629445571
7.379,978798,qu,65.17486,-16.3142,0.57,mlw,SIL picks,1629445628
7.576,978799,qu,65.17669,-16.31242,0.61,mlw,SIL picks,1629445792
7.954,978802,qu,65.17829,-16.31702,0.97,mlw,SIL picks,1629445877
8.637,978804,qu,65.17632,-16.32121,0.95,mlw,SIL picks,1629446087
7.117,978805,qu,65.17357,-16.31096,0.89,mlw,SIL picks,1629446854
5.833,978807,qu,63.84652,-22.64495,0.42,mlw,SIL picks,1629447113
8.533,978808,qu,65.17458,-16.32173,0.67,mlw,SIL picks,1629447154
9.903,978809,qu,65.13854,-16.30606,0.27,mlw,SIL picks,1629447624
8.775,978810,qu,64.34034,-17.48695,0.54,mlw,SIL picks,1629447727
5.592,978811,qu,63.84822,-22.65177,0.11,mlw,SIL picks,1629449432
4.75,978812,qu,65.19356,-16.3059,0.67,mlw,SIL picks,1629449591
9.778,978813,qu,65.18195,-16.31745,0.17,mlw,SIL picks,1629449661
7.921,978814,qu,65.17228,-16.31046,0.58,mlw,SIL picks,1629450045
9.668,978815,qu,65.18585,-16.31089,0.56,mlw,SIL picks,1629450887
2.966,978816,qu,65.02747,-16.68767,0.1,mlw,SIL picks,1629451369
7.03,978818,qu,64.05008,-21.68693,0.77,mlw,SIL picks,1629453025
14.719,978820,qu,66.08535,-18.82354,2.23,mlw,SIL picks,1629454458
14.474,978831,qu,66.08645,-18.81996,2.15,mlw,SIL picks,1629454458
5.868,978822,qu,63.85109,-22.65705,0.63,mlw,SIL picks,1629454958
13.189,978823,qu,66.08771,-18.80457,0.95,mlw,SIL picks,1629455416
3.483,978850,qu,64.05967,-21.3956,0.43,mlw,SIL picks,1629455449
11.914,978824,qu,64.78593,-16.76367,0.28,mlw,SIL picks,1629455589
3.644,978825,qu,64.06456,-21.39868,0.88,mlw,SIL picks,1629455683
3.122,978826,qu,64.06452,-21.3907,0.97,mlw,SIL picks,1629455853
5.222,978827,qu,65.17469,-16.30936,0.32,mlw,SIL picks,1629456922
0.454,978893,qu,63.60477,-19.06296,0.43,mlw,SIL picks,1629463376
2.403,978830,qu,63.61164,-19.06191,0.73,mlw,SIL picks,1629463451
9.358,978832,qu,66.22071,-18.55656,0.49,mlw,SIL picks,1629463972
14.318,978833,qu,66.08618,-18.8181,1.42,mlw,SIL picks,1629464398
8.066,978834,qu,65.14603,-16.24679,0.7,mlw,SIL picks,1629464782
4.336,978836,qu,65.03123,-16.69674,0.57,mlw,SIL picks,1629464966
2.202,978843,qu,66.24467,-16.74174,0.16,mlw,SIL picks,1629465145
13.852,978838,qu,65.17194,-16.3395,0.18,mlw,SIL picks,1629471584
5.478,978841,qu,63.81182,-22.79492,0.71,mlw,SIL picks,1629478070
10.882,978842,qu,65.17451,-16.32025,0.98,mlw,SIL picks,1629478779
4.016,978846,qu,63.90589,-22.07839,0.63,mlw,SIL picks,1629484307
6.278,978847,qu,63.84431,-22.64571,0.56,mlw,SIL picks,1629489594
14.877,978849,qu,66.08316,-18.82801,0.73,mlw,SIL picks,1629489819
6.609,978851,qu,64.05203,-21.68465,0.59,mlw,SIL picks,1629491047
11.1,978852,qu,65.18088,-16.30331,0.45,mlw,SIL picks,1629492525
6.534,978854,qu,63.81825,-22.68824,0.87,mlw,SIL picks,1629494640
8.332,978856,qu,65.07425,-16.53894,0.24,mlw,SIL picks,1629502613
10.495,978858,qu,65.21492,-16.3844,0.23,mlw,SIL picks,1629505565
10.193,978863,qu,64.01841,-19.80029,0.34,mlw,SIL picks,1629507863
5.629,978859,qu,63.84355,-22.63855,0.1,mlw,SIL picks,1629508118
5.67,978888,qu,65.04074,-16.65204,0.31,mlw,SIL picks,1629515750
6.366,978860,qu,63.83595,-22.66713,0.27,mlw,SIL picks,1629518103
0.069,978861,qu,63.64992,-19.1003,0.78,mlw,SIL picks,1629519464
4.309,978862,qu,66.23568,-16.63476,0.69,mlw,SIL picks,1629519512
1.735,978864,qu,63.86975,-22.45556,0.06,mlw,SIL picks,1629530905
2.364,978866,qu,65.71739,-16.82469,0.66,mlw,SIL picks,1629531351
1.648,978873,qu,63.86886,-22.45747,0.26,mlw,SIL picks,1629532984
1.716,978874,qu,63.86921,-22.4562,0.33,mlw,SIL picks,1629538625
6.8,978875,qu,65.16685,-16.37944,0.24,mlw,SIL picks,1629539958
7.071,978876,qu,65.16685,-16.38824,0.97,mlw,SIL picks,1629539998
5.547,978877,qu,64.0251,-21.20531,0.88,mlw,SIL picks,1629543608
10.005,978878,qu,66.30035,-16.77078,0.82,mlw,SIL picks,1629545154
8.845,978879,qu,66.23156,-18.33538,0.38,mlw,SIL picks,1629546706
2.382,978881,qu,63.8509,-22.42624,0.35,mlw,SIL picks,1629549468
19.937,978883,qu,64.57066,-17.14902,0.36,mlw,SIL picks,1629555893
1.044,978884,qu,64.20473,-18.58384,0.18,mlw,SIL picks,1629557645
0.061,978885,qu,64.43005,-17.24578,0.93,mlw,SIL picks,1629559510
3.281,978886,qu,65.02414,-16.66585,0.18,mlw,SIL picks,1629559739
3.961,978889,qu,65.02671,-16.66864,1.47,mlw,SIL picks,1629560017
4.424,978890,qu,65.03076,-16.67974,1.32,mlw,SIL picks,1629560129
10.169,978892,qu,66.22741,-18.5575,1.09,mlw,SIL picks,1629560859
2.703,978895,qu,65.04159,-16.69234,1.24,mlw,SIL picks,1629563417
4.603,978896,qu,64.39065,-17.30949,1.48,mlw,SIL picks,1629566215
4.138,978897,qu,64.38731,-17.31257,0.97,mlw,SIL picks,1629566547
4.328,978898,qu,64.39101,-17.31456,1.21,mlw,SIL picks,1629566573
9.699,978899,qu,66.2054,-17.8186,0.67,mlw,SIL picks,1629566894
8.397,978900,qu,66.2267,-18.55759,0.67,mlw,SIL picks,1629568901
11.027,978901,qu,66.45896,-17.561,1.33,mlw,SIL picks,1629577702
12.282,978902,qu,66.50979,-17.74857,0.8,mlw,SIL picks,1629582256
0.043,978903,qu,64.07053,-20.4494,0.68,mlw,SIL picks,1629583694
4.365,978904,qu,65.0444,-16.71879,0.21,mlw,SIL picks,1629584396
5.134,978906,qu,64.12878,-21.38437,0.93,mlw,SIL picks,1629585836
4.719,978907,qu,65.02694,-16.74564,0.12,mlw,SIL picks,1629586555
7.473,978909,qu,63.94368,-21.07148,0.67,mlw,SIL picks,1629590543
2.779,978911,qu,63.93215,-22.1776,0.03,mlw,SIL picks,1629593245
2.628,978913,qu,63.93329,-22.17632,0.23,mlw,SIL picks,1629593371
3.836,978914,qu,65.04913,-16.73007,0.37,mlw,SIL picks,1629595982
3.188,978915,qu,65.038,-16.68831,2.18,mlw,SIL picks,1629596476
3.137,978917,qu,65.03867,-16.70358,1.5,mlw,SIL picks,1629600574
1.36,978918,qu,66.28719,-16.75569,0.61,mlw,SIL picks,1629600972
4.412,978920,qu,65.03171,-16.66954,0.12,mlw,SIL picks,1629602138
6.638,978921,qu,65.14573,-16.4396,0.28,mlw,SIL picks,1629602783
3.062,978922,qu,65.05001,-16.745,1.05,mlw,SIL picks,1629606051
2.301,978925,qu,63.84871,-22.42417,0.67,mlw,SIL picks,1629606629
9.788,978926,qu,63.86029,-19.7818,1.15,mlw,SIL picks,1629607130
10.355,978928,qu,63.8651,-20.0262,1.4,mlw,SIL picks,1629607589
11.305,978930,qu,65.07632,-16.69656,0.21,mlw,SIL picks,1629608890
17.396,978931,qu,65.02336,-16.65997,0.01,mlw,SIL picks,1629609044
11.913,978933,qu,65.0586,-16.6902,0.0,mlw,SIL picks,1629609219
10.005,978935,qu,66.21091,-18.55663,0.27,mlw,SIL picks,1629612682
4.764,978936,qu,65.0314,-16.68436,0.0,mlw,SIL picks,1629613164
4.808,978937,qu,65.03378,-16.72511,0.4,mlw,SIL picks,1629615243
4.542,978938,qu,65.02913,-16.71355,0.48,mlw,SIL picks,1629615447
10.005,978941,qu,66.52148,-17.73521,0.84,mlw,SIL picks,1629620054
7.032,978942,qu,65.13796,-16.40712,0.55,mlw,SIL picks,1629622279
0.135,981022,qu,64.02943,-21.33763,0.28,mlw,SIL picks,1629622389
3.242,978943,qu,65.04237,-16.69621,0.95,mlw,SIL picks,1629622689
3.234,978945,qu,65.03671,-16.68984,0.46,mlw,SIL picks,1629623345
4.58,978948,qu,65.02712,-16.72567,0.56,mlw,SIL picks,1629629912
12.23,978949,qu,66.20795,-18.55225,1.24,mlw,SIL picks,1629631375
2.366,978950,qu,63.93251,-22.17612,0.15,mlw,SIL picks,1629631518
6.077,978951,qu,63.86945,-22.03196,0.58,mlw,SIL picks,1629631580
6.199,978966,qu,63.88301,-22.05391,1.01,mlw,SIL picks,1629631583
4.682,978953,qu,63.92079,-22.07467,0.69,mlw,SIL picks,1629631672
4.132,978954,qu,65.04392,-16.70022,0.12,mlw,SIL picks,1629633538
5.29,978956,qu,65.03639,-16.71189,0.89,mlw,SIL picks,1629635362
1.144,978957,qu,65.03027,-16.70053,0.43,mlw,SIL picks,1629635822
9.817,978958,qu,64.83852,-17.51947,1.48,mlw,SIL picks,1629637814
3.929,978959,qu,64.11463,-21.22603,1.01,mlw,SIL picks,1629638068
9.638,978960,qu,65.99128,-18.69148,1.22,mlw,SIL picks,1629638335
7.279,978961,qu,63.89847,-19.66234,0.35,mlw,SIL picks,1629640994
